round,winner,year,player1,player2,secPointWon1,secPointWon2,return1,return2,total1,total2
Final,Rafael Nadal,2009,Rafael Nadal,Roger Federer,48,45,40,41,173,174
semi,Rafael Nadal,2009,Rafael Nadal,Fernando Verdasco,62,55,34,31,193,192
semi,Roger Federer,2009,Roger Federer,Andy Roddick,58,52,36,26,105,85
quarter,Rafael Nadal,2009,Rafael Nadal,Gilles Simon,58,38,44,32,105,83
quarter,Fernando Verdasco,2009,Fernando Verdasco,Jo-Wilfried Tsonga,59,49,36,33,129,114
quarter,Roger Federer,2009,Roger Federer,Juan Martin Del Potro,75,33,59,17,83,36
quarter,Andy Roddick,2009,Andy Roddick,Novak Djokovic,44,48,43,25,114,88
Fourth,Rafael Nadal,2009,Rafael Nadal,Fernando Gonzalez,63,36,48,27,96,66
Fourth,Jo-Wilfried Tsonga,2009,Jo-Wilfried Tsonga,James Blake,46,59,37,30,111,97
Fourth,Gilles Simon,2009,Gilles Simon,Gael Monfils,36,41,49,42,89,78
Fourth,Fernando Verdasco,2009,Fernando Verdasco,Andy Murray,34,56,40,40,137,138
Fourth,Juan Martin Del Potro,2009,Juan Martin Del Potro,Marin Cilic,53,53,39,36,133,119
Fourth,Andy Roddick,2009,Andy Roddick,Tommy Robredo,59,50,41,26,91,67
Fourth,Roger Federer,2009,Roger Federer,Tomas Berdych,46,46,39,37,159,151
Fourth,Novak Djokovic,2009,Novak Djokovic,Marcos Baghdatis,56,46,44,33,147,118
Third,James Blake,2009,James Blake,Igor Andreev,65,38,43,27,115,83
Third,Fernando Gonzalez,2009,Fernando Gonzalez,Richard Gasquet,48,41,34,35,191,191
Third,Gael Monfils,2009,Gael Monfils,Nicolas Almagro,47,52,41,34,106,91
Third,Fernando Verdasco,2009,Fernando Verdasco,Radek Stepanek,46,30,62,33,99,55
Third,Jo-Wilfried Tsonga,2009,Jo-Wilfried Tsonga,Dudi Sela,55,48,44,36,110,93
Third,Andy Murray,2009,Andy Murray,Jurgen Melzer,52,25,52,33,96,65
Third,Rafael Nadal,2009,Rafael Nadal,Tommy Haas,79,41,49,19,98,62
Third,Gilles Simon,2009,Gilles Simon,Mario Ancic,54,44,42,36,115,99
Third,Tommy Robredo,2009,Tommy Robredo,Yen-Hsun Lu,56,31,52,31,86,56
Third,Andy Roddick,2009,Andy Roddick,Fabrice Santoro,65,47,41,21,90,62
Third,Marin Cilic,2009,Marin Cilic,David Ferrer,59,70,38,36,103,94
Third,Marcos Baghdatis,2009,Marcos Baghdatis,Mardy Fish,47,47,46,35,105,89
Third,Tomas Berdych,2009,Tomas Berdych,Stanislas Wawrinka,44,48,43,35,136,119
Third,Novak Djokovic,2009,Novak Djokovic,Amer Delic,52,44,37,31,139,123
Third,Roger Federer,2009,Roger Federer,Marat Safin,64,59,39,24,103,76
Third,Juan Martin Del Potro,2009,Juan Martin Del Potro,Gilles Muller,62,43,40,23,168,137
Second,Radek Stepanek,2009,Radek Stepanek,Michael Berrer,43,47,41,34,148,126
Second,Richard Gasquet,2009,Richard Gasquet,Denis Istomin,63,34,46,29,106,76
Second,Nicolas Almagro,2009,Nicolas Almagro,Fabio Fognini,50,29,55,33,93,60
Second,Andy Murray,2009,Andy Murray,Marcel Granollers,65,47,48,30,100,72
Second,James Blake,2009,James Blake,Sebastien de Chaunac,53,45,47,27,109,79
Second,Jurgen Melzer,2009,Jurgen Melzer,Andreas Beck,52,57,41,38,148,140
Second,Mario Ancic,2009,Mario Ancic,Ivo Karlovic,68,46,33,25,149,137
Second,Igor Andreev,2009,Igor Andreev,Ernests Gulbis,54,49,39,35,179,173
Second,Fernando Verdasco,2009,Fernando Verdasco,Arnaud Clement,78,45,56,18,90,45
Second,Dudi Sela,2009,Dudi Sela,Victor Hanescu,48,32,44,32,102,78
Second,Tommy Haas,2009,Tommy Haas,Flavio Cipolla,67,13,55,30,95,61
Second,Gilles Simon,2009,Gilles Simon,Chris Guccione,61,58,38,26,132,107
Second,Jo-Wilfried Tsonga,2009,Jo-Wilfried Tsonga,Ivan Ljubicic,61,61,29,25,146,137
Second,Fernando Gonzalez,2009,Fernando Gonzalez,Guillermo Canas,55,53,41,26,112,93
Second,Rafael Nadal,2009,Rafael Nadal,Roko Karanusic,60,27,45,30,83,58
Second,Gael Monfils,2009,Gael Monfils,Stefan Koubek,63,63,35,30,109,100
Second,Marat Safin,2009,Marat Safin,Guillermo Garcia-Lopez,68,48,42,23,95,67
Second,Mardy Fish,2009,Mardy Fish,Simone Bolelli,50,37,45,33,100,75
Second,Tomas Berdych,2009,Tomas Berdych,Brian Dabul,78,25,52,25,102,63
Second,Stanislas Wawrinka,2009,Stanislas Wawrinka,Brydan Klein,75,45,38,23,100,81
Second,Marcos Baghdatis,2009,Marcos Baghdatis,Robin Soderling,58,38,46,38,133,115
Second,David Ferrer,2009,David Ferrer,Dominik Hrbaty,62,33,55,17,78,34
Second,Novak Djokovic,2009,Novak Djokovic,Jeremy Chardy,68,45,45,27,89,61
Second,Tommy Robredo,2009,Tommy Robredo,Viktor Troicki,91,24,57,20,88,44
Second,Andy Roddick,2009,Andy Roddick,Xavier Malisse,55,48,41,25,128,101
Second,Fabrice Santoro,2009,Fabrice Santoro,Philipp Kohlschreiber,51,56,42,40,181,174
Second,Roger Federer,2009,Roger Federer,Evgeny Korolev,70,44,51,29,89,59
Second,Amer Delic,2009,Amer Delic,Paul-Henri Mathieu,64,63,30,33,153,158
Second,Yen-Hsun Lu,2009,Yen-Hsun Lu,David Nalbandian,53,51,41,36,167,149
Second,Gilles Muller,2009,Gilles Muller,Bernard Tomic,53,47,43,27,120,92
Second,Marin Cilic,2009,Marin Cilic,Janko Tipsarevic,46,50,44,35,134,115
Second,Juan Martin Del Potro,2009,Juan Martin Del Potro,Florian Mayer,68,48,49,33,92,66
First,James Blake,2009,James Blake,Frank Dancevic,45,38,45,32,109,88
First,Roko Karanusic,2009,Roko Karanusic,Florent Serra,44,53,40,38,131,126
First,Fernando Gonzalez,2009,Fernando Gonzalez,Lleyton Hewitt,51,52,42,33,145,121
First,Andy Murray,2009,Andy Murray,Andrei Pavel,45,29,54,19,46,24
First,Radek Stepanek,2009,Radek Stepanek,Nicolas Lapentti,67,58,38,31,126,114
First,Victor Hanescu,2009,Victor Hanescu,Jan Hernych,53,44,41,41,188,191
First,Stefan Koubek,2009,Stefan Koubek,Mikhail Youzhny,50,53,54,33,96,65
First,Ernests Gulbis,2009,Ernests Gulbis,Albert Montanes,59,55,37,26,80,62
First,Mario Ancic,2009,Mario Ancic,Wayne Odesnik,56,55,39,28,128,111
First,Fernando Verdasco,2009,Fernando Verdasco,Adrian Mannarino,53,31,58,28,86,45
First,Arnaud Clement,2009,Arnaud Clement,Sergiy Stakhovsky,47,47,44,43,146,139
First,Michael Berrer,2009,Michael Berrer,Carsten Ball,53,35,53,34,114,82
First,Andreas Beck,2009,Andreas Beck,Colin Ebelthite,67,28,55,31,92,59
First,Tommy Haas,2009,Tommy Haas,Eduardo Schwank,50,44,46,33,102,79
First,Denis Istomin,2009,Denis Istomin,Vince Spadea,50,39,51,33,101,73
First,Gael Monfils,2009,Gael Monfils,Martin Vassallo Arguello,42,40,51,37,117,91
First,Igor Andreev,2009,Igor Andreev,Peter Polansky,46,55,41,32,159,142
First,Sebastien de Chaunac,2009,Sebastien de Chaunac,Steve Darcis,47,53,43,39,114,105
First,Ivan Ljubicic,2009,Ivan Ljubicic,Igor Kunitsyn,46,37,41,37,180,173
First,Fabio Fognini,2009,Fabio Fognini,Andrey Golubev,53,61,37,32,136,127
Final,Roger Federer,2010,Roger Federer,Andy Murray,61,51,37,32,116,100
semi,Roger Federer,2010,Roger Federer,Jo-Wilfried Tsonga,68,39,41,22,85,54
semi,Andy Murray,2010,Andy Murray,Marin Cilic,57,44,39,31,125,106
quarter,Roger Federer,2010,Roger Federer,Nikolay Davydenko,49,39,47,39,125,104
quarter,Jo-Wilfried Tsonga,2010,Jo-Wilfried Tsonga,Novak Djokovic,48,49,36,39,158,155
quarter,Marin Cilic,2010,Marin Cilic,Andy Roddick,46,52,37,38,147,149
quarter,Andy Murray,2010,Andy Murray,Rafael Nadal,45,42,44,36,94,75
Fourth,Roger Federer,2010,Roger Federer,Lleyton Hewitt,66,45,44,28,102,77
Fourth,Nikolay Davydenko,2010,Nikolay Davydenko,Fernando Verdasco,57,45,35,35,171,157
Fourth,Novak Djokovic,2010,Novak Djokovic,Lukasz Kubot,70,31,44,23,92,58
Fourth,Jo-Wilfried Tsonga,2010,Jo-Wilfried Tsonga,Nicolas Almagro,63,53,30,24,174,160
Fourth,Andy Roddick,2010,Andy Roddick,Fernando Gonzalez,50,44,35,25,159,141
